#	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
1.0	China	120504	3602	4636 		103884	149	11984	8	84	3	160000000	111163	1439323776 	Asia
2.0	USA	81244936	25359	992302 	901	56456450	174444	23796184	3726	243030	2968	967406638	2893828	334300023 	North America
3.0	India	42998646	2584	516103 	98	42446171		36372	8944	30647	368	779754156	555756	1403050615 	Asia
4.0	Brazil	29432274	50078	655649  	323	27968811	130018	807814	8318	136814	3048	63776166	296459	215126183 	South America
5.0	France	23649615	116618	140440 	146	22327945	66648	1181230	1855	360959	2144	246629975	3764257	65518893 	Europe
6.0	UK	19820181	52822	163095 	200	18429633	51258	1227453	253	289380	2381	489876300	7152332	68491825 	Europe
7.0	Germany	17567738	225387	126532 	287	13714200	212800	3727006	2494	208546	1502	104701826	1242913	84239076 	Europe
8.0	Russia	17412919	36678	361902 	558	15704022	118372	1346995	2300	119233	2478	273400000	1872080	146040773 	Europe
9.0	Turkey	14600683	24614	96735 	115	14213445	30553	290503	975	170012	1126	149168647	1736932	85880558 	Asia
10.0	Italy	13489319	85288	157177 	180	12296018	53349	1036124	502	223663	2606	193352508	3205936	60310783 	Europe
11.0	Spain	11260040	9015	101416 	71	10502784	48933	655840	682	240673	2168	471036328	10067988	46785545 	Europe
12.0	Argentina	8981155	5076	127295 	38	8787789	4214	66071	761	195667	2773	34877407	759852	45900252 	South America
13.0	Netherlands	7266972	52897	21725 	12	5712759	60151	1532488	157	422516	1263	21107399	1227226	17199283 	Europe
14.0	S. Korea	7228550	362328	10888 	293				1196	140786	212	15804065	307807	51344146 	Asia
15.0	Iran	7130129	3223	139180 	117	6791854	5921	199095	2531	83083	1622	48393373	563901	85818859 	Asia
16.0	Vietnam	6552918	175480	41545 	68	3383142	111164	3128231	4269	66307	420	81738760	827095	98826293 	Asia
17.0	Colombia	6077861	573	139335 	20	5909782	613	28744	342	117324	2690	33566181	647945	51804094 	South America
18.0	Indonesia	5914532	14408	152745 	308	5462344	27615	299443	2771	21242	549	89512643	321483	278436451 	Asia
19.0	Poland	5836672	12695	113622 	178	5199156	9060	523894	482	154507	3008	34681947	918090	37776189 	Europe
20.0	Japan	5808242	35846	26262 	108	5227335	59558	554645	1170	46164	209	41189103	327369	125818680 	Asia
21.0	Mexico	5607845	1018	321115 	12	4900680	3525	386050	4798	42732	2447	15355108	117006	131233677 	North America
22.0	Ukraine	4912528	6120	107269 	85				177	113486	2478	19521252	450968	43287399 	Europe
23.0	Malaysia	3872135	26534	33994 	95	3533994	31234	304147	376	117088	1028	52598004	1590490	33070305 	Asia
24.0	Israel	3732586	7172	10399 	7	3681263	6153	40924	306	400234	1115	41373364	4436346	9326000 	Asia
25.0	Czechia	3696837	10829	39216 	20	3588815	7992	68806	116	344124	3650	53125897	4945286	10742734 	Europe
26.0	South Africa	3696823	1648	99727 	2	3578877	1539	18219	546	61025	1646	23452959	387148	60578717 	Africa
27.0	Philippines	3671293		57625 		3567412		46256	289	32762	514	28545001	254734	112058146 	Asia
28.0	Belgium	3658084	3417	30445 	11	3402134	26703	225505	185	313318	2608	32189080	2757021	11675311 	Europe
29.0	Australia	3656931	34047	5616 	25	3346229		305086	105	140638	216	64784755	2491490	26002413 	Australia/Oceania
30.0	Peru	3537488	646	211619 	40				658	104809	6270	28001696	829633	33751895 	South America
31.0	Portugal	3380263		21285 		2876177		482801	70	333156	2098	37805639	3726089	10146199 	Europe
32.0	Canada	3373776	4274	36993 	49	3222524	4186	114259	510	88078	966	58805098	1535210	38304275 	North America
33.0	Chile	3323324	8716	44039 	34	2580632	38122	698653	931	171350	2271	34210544	1763890	19394942 	South America
